lat,lon,Enb.avg_income,Enb.woz,Enbp.high_education,Enbp.independent,Enbp.low_education,Enbp.unemployed,Gcb.buurt,Gcb.buurtcode,Inp.Grey,Pnb.cohesion,Pnb.diversity,Pnb.good_life,Pnb.pop,Pnbp.complains_aq,Pnbp.complains_noise,Pnbp.feels_unsafe,Pnbp.mostly_by_car,Pnbp.mostly_walking,Pnbp.unhappy,Vc.milieuzone,Vc.mode_species,Vc.mode_tree_species,Vn.PM10_avg_2020,Vn.PM10_avg_2021,Vn.PM10_avg_2022,Vn.med_tree_height,Vn.number_species,Vn.number_tree_species,Vn.number_trees,Vn.prec_ann,Vn.tavg_ann,Vnp.Green
51414,5439,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.06235791233507956,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Valse acacia,,,,10.5,,7.0,17.0,64.5,9.945994059244791,0.005852674382987043
51414,5440,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.09186741555691254,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Zomereik,,,,13.5,,6.0,11.0,64.5,9.945994059244791,0.02248103910904874
51414,5441,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.14510026212650548,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Gewone es cv,,,,7.5,,2.0,5.0,64.5,9.945994059244791,0.0
51414,5442,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.04850288444566655,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Gewone es cv,,,,7.5,,2.0,8.0,64.5,9.945994059244791,0.0005954110882443339
51414,5443,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.11783081185954221,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Gewone es cv,,,,10.5,,6.0,11.0,64.5,9.945994059244791,0.0
51414,5444,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.21856356499650384,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Gewone es cv,,,,7.5,,8.0,16.0,64.5,9.945994059244791,0.0
51414,5445,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.0516216142586306,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,PRUNUS PADUS,Hollandse iep,,,,10.5,3.0,4.0,5.0,,,0.0
51414,5446,42.0,263.0,35.79,68.9,28.8,7.0,Hanevoet,732,0.23082120978346457,6.4,0.57,7.7,40.0,24.0,39.0,6.0,54.0,15.0,5.0,0,,Haagbeuk,,,,7.5,,8.0,18.0,64.5,9.945994059244791,0.0
51414,5447,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.054819055653264046,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,SILENE DIOICA,Schietwilg,,,,7.5,1.0,8.0,20.0,64.5,9.945994059244791,0.14651298310868102
51414,5448,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.07923109500109578,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Treurwilg,,,,13.5,,1.0,1.0,64.5,9.945994059244791,0.06406857161490664
51414,5449,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.11361640900535201,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Bolacacia,,,,3.0,,22.0,44.0,64.5,9.945994059244791,0.5474805685405519
51414,5450,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.07085040728936319,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Berk,,,,18.75,,2.0,2.0,64.5,9.945994059244791,0.7408282324426645
